,00000DV,20210127,20230101
TX,00001DV,20171227,20190101
TX,00002DV,20210623,20230101
TX,00002DV,20171227,20210623
TX,00003DV,20210411,20230101
TX,00003DV,20171227,20210411
TX,00004DV,20171227,20220101
TX,00005DV,20171227,20210101
TX,00006DV,20220111,20230101
TX,00006DV,20210110,20220111
TX,00006DV,20171227,20210110
TX,00007DV,20210919,20230101
TX,00007DV,20171227,20210919
TX,00008DV,20210110,20220101
TX,00008DV,20171227,20210110
TX,00009DV,20210923,20230101
TX,00009DV,20171227,20210923
TX,0000DV,20210611,20230101
TX,0000DV,20180607,20210611
TX,00010DV,20210627,20230101
TX,00010DV,20171227,20210627
TX,00011DV,20171227,20210101
TX,00012DV,20220204,20240101
TX,00012DV,20171227,20220204
TX,00013DV,20171227,20210101
TX,00014DV,20210706,20230101
TX,00014DV,20210114,20210706
TX,00014DV,20171227,20210114
TX,00015DV,20210627,20230101
TX,00015DV,20171227,20210627
TX,00016DV,20171227,20190101
TX,00017DV,20211014,20240101
TX,00017DV,20171227,20211014
TX,00018DV,20171227,20190101
TX,00019DV,20171227,20210101
,0001DV,20210813,20230101
TX,0001DV,20170518,20210813
TX,0001DV1,20210912,20230101
TX,0001DV1,20190903,20210912
TX,0001DV2,20210902,20230101
TX,0001DV2,20190906,20210902
TX,0001DV3,20220306,20240101
TX,0001DV3,20210528,20220306
TX,0001DV3,20190910,20210528
